brand,aspect,negative,neutral,positive,total,pct_positive,pct_neutral,pct_negative
brother,hardware,6,3,7,16,0.4375,0.1875,0.375
brother,other,1,1,3,5,0.6,0.2,0.2
brother,software,7,2,8,17,0.47058823529411764,0.11764705882352941,0.4117647058823529
brother,support,1,0,1,2,0.5,0.0,0.5
cricut,hardware,0,1,7,8,0.875,0.125,0.0
cricut,materials,0,0,5,5,1.0,0.0,0.0
cricut,other,1,0,15,16,0.9375,0.0,0.0625
cricut,software,0,0,9,9,1.0,0.0,0.0
silhouette,hardware,4,0,12,16,0.75,0.0,0.25
silhouette,other,0,2,9,11,0.8181818181818182,0.18181818181818182,0.0
silhouette,software,2,2,8,12,0.6666666666666666,0.16666666666666666,0.16666666666666666
silhouette,support,0,0,1,1,1.0,0.0,0.0
